person,bead_colour,n_beads,Duration_in_Seconds,Vsearch_YesNo,Vsearch_Strategy,Bucket_YesNo,Bucket_Strategy,Gender,Ethnicity,Age,Height,Weight,Occupation,AreaOfStudy,Education,VidGame_YesNo,VidGame_Type,VidGame_Time,Sports_YesNo,Sports_Type,Sports_Time,Hobbies_YesNo,Hobbies_Type,Hobbies_Time,MentIll_YesNo,MentIll_Type,BFI2_01,BFI2_02,BFI2_03,BFI2_04,BFI2_05,BFI2_06,BFI2_07,BFI2_08,BFI2_09,BFI2_10,BFI2_11,BFI2_12,BFI2_13,BFI2_14,BFI2_15,BFI2_16,BFI2_17,BFI2_18,BFI2_19,BFI2_20,BFI2_21,BFI2_22,BFI2_23,BFI2_24,BFI2_25,BFI2_26,BFI2_27,BFI2_28,BFI2_29,BFI2_30,BFI2_31,BFI2_32,BFI2_33,BFI2_34,BFI2_35,BFI2_36,BFI2_37,BFI2_38,BFI2_39,BFI2_40,BFI2_41,BFI2_42,BFI2_43,BFI2_44,BFI2_45,BFI2_46,BFI2_47,BFI2_48,BFI2_49,BFI2_50,BFI2_51,BFI2_52,BFI2_53,BFI2_54,BFI2_55,BFI2_56,BFI2_57,BFI2_58,BFI2_59,BFI2_60,ProScale_01,ProScale_02,ProScale_03,ProScale_04,ProScale_05,ProScale_06,ProScale_07,ProScale_08,ProScale_09,ProScale_10,ProScale_11,ProScale_12,ProScale_13,ProScale_14,ProScale_15,ProScale_16,ProScale_17,ProScale_18,ProScale_19,ProScale_20,BIS11_01,BIS11_02,BIS11_03,BIS11_04,BIS11_05,BIS11_06,BIS11_07,BIS11_08,BIS11_09,BIS11_10,BIS11_11,BIS11_12,BIS11_13,BIS11_14,BIS11_15,BIS11_16,BIS11_17,BIS11_18,BIS11_19,BIS11_20,BIS11_21,BIS11_22,BIS11_23,BIS11_24,BIS11_25,BIS11_26,BIS11_27,BIS11_28,BIS11_29,BIS11_30
401,black,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402,orange,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,black,1,1676,1,Screened the side with same line/structure first and then the side with the mixed lines,0,Switched the strategy to find out what is most practical. Sometimes I started going on the left side to pick up the 2nd bucket and then back on the right side to pick up the 1st bucket. One time I pick up the 1 st bucket first,Female,White,30,163,67,PhD student,Epidemiology,Master,0,NA,NA,1,Boxing,4,1,"Reading, Cycling, Knitting",03-May,0,NA,5,4,1,4,4,3,5,1,5,5,1,2,5,2,3,2,5,5,4,5,4,4,1,4,2,4,3,4,2,2,2,5,5,2,5,4,2,4,1,4,2,3,5,4,4,5,2,1,2,1,1,5,2,2,2,5,4,2,2,4,2,2,4,5,4,4,2,4,2,2,1,4,5,4,3,1,1,4,1,4,3,2,3,2,1,2,3,3,3,3,2,3,3,2,3,1,2,2,2,3,1,2,1,2,1,1,2,1,2,2
404,orange,6,714,1,"First I searched the side of the screen with the 'simpler' pattern of more consistent line angles, as it was easy to quickly see if there was an outlier. Then I would try to scan the more complex side slowly to spot the target",1,"I did the same thing all three times, though I am not sure it was a strategy it just came to me naturally. I took the closest bucket and placed it to the left (I am left handed maybe thats why) and then retrieved the furthest bucket and placed it on the right",Male,White Scottish,22,6ft2in,75kg,Student,Medical Sciences,Undergraduate degree,1,"Xbox, mainly sports games (FIFA, NBA2K) and shooters (Battlefield)",5,1,"Boxing, Football",7,1,"Skiing, Reading, Watching Sports, Drawing",10,0,NA,4,3,2,4,1,4,4,2,4,5,2,2,5,2,4,4,1,5,3,5,4,1,1,4,1,1,3,4,5,1,5,3,4,1,5,3,3,5,1,3,3,3,5,5,1,3,1,1,4,1,1,5,5,1,1,4,3,2,1,3,3,1,5,4,1,5,1,5,2,2,5,1,5,4,4,3,1,4,3,5,3,2,4,3,1,1,4,3,3,2,1,3,3,2,3,1,2,1,2,3,1,2,1,2,2,2,2,1,3,2
405,black,1,740,1,"The majority of the time I would spot the tilted line instantly, if right at the beginning I had not then I would try my best to skim through (quickly) and make sure I didn't miss it.",0,"I had not used a strategy, I simply picked up the buckets without thinking. Perhaps not a strategy but I did make sure I didn't rush the task so as not to drop the buckets or cause a mess.",Male,White,23,185cm,85kg,Unemployed,NA,Bsc Electrical & Electronic Engineering,1,"Fifa, COD",5,0,NA,NA,1,"Piano, going for walks and gym, cooking",10,1,Diagnosed ADD and Anxiety. Suspected Dyspraxia,3,4,4,4,4,4,4,5,4,2,2,3,1,4,4,3,5,3,3,4,3,3,4,4,2,2,4,5,3,3,4,3,2,4,5,4,4,2,3,3,3,5,3,2,1,3,4,4,2,4,3,4,2,4,1,3,1,5,4,4,3,5,3,3,2,4,2,1,4,4,1,4,5,1,4,4,4,3,4,3,2,3,4,1,3,3,2,1,1,1,3,2,1,4,2,3,4,1,3,2,4,4,1,2,3,3,3,3,2,2
406,orange,3,1735,1,"Quickly scan through the half of the screen with consistent line angles. Then go through the other half a couple lines at a time, moving down the screen.",1,"Retrieve the closest bucket first and place on the left hand side, then the further bucket and place on the right.",Female,British Pakistani,18,5 foot 3 (roughly),65kg (roughly),Part time customer advisor/student,Pharmacology,"Secondary school, Currently higher education 2nd year.",0,NA,NA,1,Lacrosse,04-Jun,1,Painting and writing,02-Apr,0,NA,4,5,2,4,4,4,5,3,4,4,3,2,4,4,3,2,2,4,4,4,4,3,3,4,1,3,3,3,3,3,2,4,5,3,4,3,2,4,2,4,4,2,4,5,2,5,2,1,2,1,3,4,4,3,2,5,3,2,1,3,4,3,2,1,4,3,4,3,4,3,4,3,5,2,3,3,2,3,4,4,3,2,3,4,2,4,4,4,2,3,1,3,3,2,4,1,2,1,1,3,1,2,1,2,1,3,2,2,3,2
407,orange,2,3476,1,"Skim first the pattern with mostly left-leaning lines, if not found then check the more irregular pattern column by column, then finish the other pattern row by row.",0,I did not think of an strategy I just picked the first one and then the second. By the end I though of mixing it because I figured out I was using the same strategy but was actually carrying more weight because I picked the first bucket and then the furthest away.,Male,Hispanic,32,191 cm,120kg,PhD student,Economics,Master's,1,MOBA,5,1,soccer,2,1,I like to pain,1,0,NA,5,5,3,5,2,5,5,1,5,5,1,1,5,4,4,2,1,5,2,5,5,4,2,5,1,3,5,4,5,2,1,5,5,1,4,1,1,5,1,5,5,4,5,5,2,5,2,1,5,1,1,5,5,1,1,5,3,4,2,5,2,1,4,2,2,5,1,5,1,1,2,1,4,4,5,2,1,5,1,5,3,3,4,2,1,1,3,4,3,4,2,4,2,1,4,3,1,1,2,4,2,1,2,3,2,1,3,1,2,2
408,black,3,1245,0,I tried looking up and down in the irregular side of the screen. I also tried looking from side to side of the irregular half of the screen. I tried to look in zig zag left right from up to down (I think it was less efficient).,1,I mostly lifted the first bucket with my right hand and then the second bucket with my left hand using the shortest path I could make to have the bucket on the preferred side of my body.,Male,White - South Eastern European,20,178 cm,63 kg,Student,Biochemistry,Romanian Baccalaureate Exam (equivalent to A-levels),1,"MOBA, Card games, Puzzles, Strategy, RPG",10,0,NA,NA,1,"Playing the guitar, hiking, chemical experiments, drawing",5,0,NA,4,5,3,5,5,5,5,4,4,5,3,1,3,2,4,3,2,5,1,5,4,2,3,4,2,4,5,4,3,1,3,4,4,3,5,2,2,4,4,5,3,1,4,3,1,4,2,1,3,1,2,4,3,5,1,3,5,4,2,4,4,4,3,1,1,4,3,2,5,3,4,3,1,2,3,3,3,3,3,2,2,3,4,4,2,3,2,3,4,3,2,3,4,1,3,1,2,1,2,3,1,2,4,1,2,2,2,1,4,4
409,orange,1,737,0,"If the line is not immediately obvious (its angle goes against surrounding lines), I would search for the target around the scattered lines.",1,Pick up one bucket with each hand and complete the task in one go,Male,White,20,185cm,70kg,Studying full-time,Biological Sciences,High school and some univerisity,1,"Strategy, simulation games, RPGs",5,0,NA,NA,1,"Reading, crochet",4,0,NA,2,4,2,3,4,2,5,2,3,5,4,2,2,4,3,4,2,4,4,5,4,2,4,4,1,4,4,3,2,4,5,3,4,5,4,1,4,4,4,2,2,4,2,2,2,2,1,1,1,1,1,4,4,4,1,4,2,4,4,2,2,1,4,1,4,1,2,4,2,2,1,4,5,4,4,4,4,4,2,2,2,3,2,2,1,4,4,2,2,2,1,3,3,3,3,3,3,1,3,2,4,2,1,1,1,2,2,2,3,4
410,black,2,4370,1,"firstly I would like to find the tilted line which in obviously position. If that can be found, I will select yes. If not, I prefer to choose no. Because I can hardly identified tilted lines which near many similar lines.",0,I just put  the nearest buckets in to my right  hand position then do next. It's my habit.,male,None,26,171 cm,71kg,students,Master of data science,undergraduate degree,1,League of Lengends,20 hours,1,swim squash soccer gym,10 hours,0,NA,NA,0,NA,3,5,2,5,2,3,5,3,5,5,2,5,5,1,5,4,3,5,3,2,5,2,1,5,3,2,4,3,5,5,4,5,3,2,2,1,1,4,1,5,5,2,4,5,1,3,4,2,4,3,2,5,5,1,2,2,5,3,4,5,5,1,5,5,1,5,5,4,1,2,5,1,4,5,5,2,5,4,1,4,4,1,3,4,1,2,3,4,4,3,2,4,4,2,4,4,2,2,1,3,4,2,4,4,1,2,4,2,3,4
411,orange,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,black,4,1578,0,I did usually check the side with the more consistent lines first to see if there was one that didn't match the others and then if I didn't see the tilted line there I moved over to the other side an started searching either from the top or bottom but not with much strategy.,1,"I always went to the further away bucket, picked that one up, started walking back to the first bucket while shifting the bucket to my other hand and grabbed the other one before putting them on the boxes.",female,"White, non UK",27,165 cm,58 kg,PhD student,Health Psychology,MSc,0,NA,NA,0,NA,NA,1,running,4-5 hours,0,NA,5,5,4,1,5,3,4,2,2,5,2,4,5,4,3,2,5,4,4,1,4,2,4,4,3,1,2,3,2,3,2,5,5,5,1,2,2,5,3,3,5,2,4,3,2,4,2,1,2,4,1,5,3,2,1,5,5,4,4,5,5,5,4,2,5,4,3,2,2,4,2,5,5,2,1,5,5,2,4,2,3,1,4,2,1,2,1,4,3,3,2,3,4,2,2,3,1,3,1,2,3,3,1,1,1,2,1,2,1,4
413,black,3,504,0,I did not use a strategy I just scanned over the two sides,1,I picked up the closest bucket first because it seemed like it would be faster to collect that bucket first,Female,"White, British",21,5'5,9st 6,Student,Sociology,A-level,1,Life role play games such as the sims,4,1,Cheerleading,4,1,Reading,10,0,NA,4,4,1,4,4,4,5,2,4,5,2,2,4,1,2,2,2,4,4,4,2,1,2,4,2,2,2,1,5,2,4,4,5,4,4,2,1,4,2,2,2,1,5,4,2,4,1,2,2,2,4,4,4,1,2,2,4,1,1,2,2,2,5,5,2,5,1,4,2,2,2,2,5,4,4,1,2,4,2,5,3,1,2,3,1,2,4,3,4,1,1,3,3,1,2,2,1,2,1,3,1,3,1,1,2,1,2,1,3,3
415,orange,10,1201,0,"I did not use any strategy, but sometime I scan the outer membrane",1,"at the beginning I take the first bucket and go for the second, but the I realised taking the second and walk back to the first bucket is more efficient and smarter act to do",female,Arab,23,153,47,"Masters student doing Psychology, but I used to be a pharmacist",Psychological studies with mental health,I have Bachelor's degree in pharmacy and now I am doing MSc. Psychological studies,0,NA,NA,1,"squash, yoga,",5 hours,1,walking around in nature,one day a week maybe for 3 hours maybe less it depends,0,NA,4,3,5,2,2,4,5,3,3,5,1,2,4,2,4,3,3,4,4,5,4,2,3,4,2,1,2,3,3,3,3,5,3,5,4,3,2,4,2,5,5,4,4,4,3,3,3,3,2,3,2,5,4,3,4,4,3,4,2,3,1,4,3,3,3,4,2,3,4,4,2,5,4,2,1,3,2,3,4,1,4,2,4,4,2,4,3,3,3,2,4,4,4,1,3,4,3,2,3,3,2,4,3,2,3,3,1,4,2,3
416,black,4,814,1,"first I looked at the corners and at the more homogenous side, then at the more confusing one. Because it was easier to identify the target when it was among lines oriented in the opposite direction so I was quicker to detect it",1,"I grabbed the two buckets in one trip, because it was more time-efficient",female,white european,21,165 cm,55 kg,student,psychology,diploma (from high school),1,"computer games, ps4, xbox",4,1,dance and ice-skating,5,1,reading,5,0,NA,5,4,1,2,2,4,5,2,2,5,1,4,3,4,3,2,2,5,3,5,5,4,2,4,1,2,3,2,3,2,2,4,4,4,5,2,4,4,3,5,4,3,4,3,2,5,2,2,2,1,2,5,5,2,2,4,3,3,4,4,2,1,4,3,1,3,2,4,2,2,2,2,4,4,4,3,2,4,2,4,3,2,3,2,2,3,4,3,3,2,1,3,3,2,3,1,2,2,2,3,2,2,2,1,2,3,2,2,1,4
417,orange,6,742,1,I tried looking through the edges and corners more carefully because the lines there were harder to notice at first glance.,1,I got the furthest bucket first because it is easier to start with the longer task.,Female,White,22,~160 cm,~60 kg,Student,Anthropology,Now studying my undergraduate,1,Rpg and puzzle games,~6,1,Rollerblading,~7,1,Writing,~10,0,NA,4,4,5,3,2,4,4,3,4,5,1,3,3,4,4,2,1,1,2,5,3,1,2,4,2,3,4,5,3,1,4,4,1,2,5,3,4,3,2,4,4,2,4,2,1,5,1,4,3,1,3,4,3,2,1,4,4,4,4,5,2,5,5,4,4,5,2,4,4,1,5,2,5,1,2,5,5,4,2,3,2,3,3,4,1,4,4,2,2,4,1,3,4,3,3,1,3,1,3,2,1,3,2,2,1,3,3,1,4,3
418,black,1,782,1,"I quickly looked to the one side of the screen which usually had lines tilted one way. Then if it was not there I would look at the side of the screen which had lines going in different directions. If I was struggling to find it here, I would scan that side of the screen line by line (horizontally).",1,"I picked up the closest bucket first and then put it down on the black boxes. Then I went to the furthest bucket, picked it up and put it on the black boxes. I picked them up one at a time because I was unsure of how heavy they would be. I continued to do this because it was easier to do one at a time rather than carry one to the other and then lifting them both back to the black boxes.",Female,British - white,18,172cm,70kg,Student,Law,Completed first year modules at university.,0,NA,NA,0,NA,NA,1,"Watching movies, attending spin classes.",3,1,Dyslexia and Disgraphia,5,5,2,4,2,4,5,2,4,4,1,2,5,2,4,2,2,5,2,4,2,2,2,4,2,2,4,2,2,2,2,4,4,2,4,2,2,5,2,3,4,2,5,4,2,4,2,2,2,2,2,4,4,2,2,4,4,2,2,4,1,1,4,4,2,4,2,4,2,2,2,2,4,4,4,2,2,4,2,4,4,2,2,3,1,1,4,3,3,3,1,3,3,2,2,1,1,1,1,3,2,1,2,1,1,1,3,1,2,2
419,orange,1,1401,0,"I only looked at the side with the lines slanted in one direction, before looking at the other, there was no other strategy.",1,"Picked up both the buckets together, although I picked them up individually the first two times.",Male,White British,18,"I do not know my height, I would say around 5'8",I do not know my weight,None,MA Geography and Anthropology,High school graduation,0,NA,NA,1,Table Tennis,2,1,Reading,"6-12, varies greatly",0,NA,2,4,2,1,2,3,5,2,4,5,3,4,4,4,2,4,5,4,4,5,2,4,4,2,2,4,5,4,2,2,5,5,4,5,4,5,4,3,5,4,3,2,4,4,2,2,2,4,2,1,3,4,4,4,1,3,3,2,4,3,2,2,2,4,3,3,2,2,2,3,4,2,4,3,4,2,2,3,3,3,2,1,1,1,2,2,2,2,2,4,1,2,1,2,2,1,1,2,1,3,1,1,3,2,1,3,2,2,3,2
420,black,1,798,0,I tried to use my peripheral vision as it seemed easier to spot the target.,1,I was retrieving the buckets at once so I save time going back to take them one by one.,male,White European,21,193cm,90kg,student,Psychology,Secondary education,0,NA,NA,0,NA,NA,1,"singing, dancing, playing the piano",6,0,NA,2,4,1,1,5,1,4,2,1,5,2,4,5,4,5,5,2,5,5,5,1,3,5,4,2,4,1,1,1,1,5,4,5,5,5,5,3,4,5,5,2,5,5,3,2,4,4,1,1,4,5,5,5,5,1,4,2,1,1,4,4,1,2,1,4,2,4,1,1,5,5,5,5,5,1,4,3,1,5,2,2,1,1,3,1,2,2,4,1,2,2,4,3,2,4,3,1,1,1,4,1,1,4,1,2,4,1,3,4,3
421,orange,1,736,0,there wasnt  any particular strategy i just looked around if i could find such a tilted line that stood out from there rest,1,i took the nearest bucket and then the one placed behind,female,indian,18,153 cm,46,student,psychology,high school,0,NA,NA,1,basketball,03-May,1,"singing, dancing and watching movies",Oct-15,0,NA,5,5,1,4,3,3,5,4,4,4,1,1,5,5,4,1,4,5,4,4,1,1,1,5,4,1,5,1,2,3,1,5,5,4,3,2,1,5,2,5,5,2,5,5,2,3,1,1,1,4,2,5,5,2,4,5,5,1,5,3,4,1,5,4,1,5,3,5,2,1,3,1,5,5,5,1,1,5,1,5,4,2,3,4,2,3,4,4,3,4,3,4,4,2,1,1,4,4,4,2,1,2,1,2,1,3,2,2,1,3
422,black,1,976,1,"find the easier one ,time saving",0,"find a more easier one, I want to try different one",female,Chinese,34,165cm,53kg,student,International business and finance,Bachelor of  law,0,NA,NA,1,basketball,within 2hours,1,"reading ,writing ,climbing",5hours,0,NA,5,5,1,5,2,4,5,1,5,5,5,4,5,2,5,5,5,5,4,5,5,5,4,5,1,1,2,2,4,2,4,5,5,1,5,1,1,5,1,4,5,1,5,5,2,3,3,1,5,1,1,5,5,1,1,5,5,2,5,5,5,1,4,5,4,2,2,5,1,2,5,1,4,5,4,4,1,5,1,5,4,1,3,3,2,1,4,4,4,3,3,3,3,1,2,2,2,2,2,3,2,2,1,1,1,3,2,3,2,4
423,orange,1,6994,1,"I found that one side of the screen mainly demonstrated lines with the same direction while the other side seems to be randomly arranged. Therefore I would search the side with same-directional lines first, and then the other side.",1,"I will use my right hand to pick up the first bucket since I mainly use my right hand in daily life, and then walk through the obstacle at its left side to make sure it goes smoothly, and then I used my left hand to pick up the other one. When I put them back, I tended to focus the bucket at my left hand first.",Male,Chinese,25,171cm,61kg,Research Master Student / Research Assistant,"Behavioural Neuroscience, Cognitive Psychology",Master,1,Simulation games like car simulator,5,1,"Gym, Tennis",6,1,Cooking,12,0,NA,4,4,1,4,3,3,5,2,4,5,1,4,3,3,3,5,3,5,2,2,4,2,1,3,2,2,4,2,4,1,2,4,5,4,3,2,1,5,2,5,4,4,5,4,1,5,2,1,4,2,4,5,5,2,2,4,3,1,2,5,3,1,5,2,2,4,3,4,1,1,4,1,5,4,2,1,1,4,1,4,4,1,4,3,1,2,4,4,4,4,2,4,4,1,4,1,2,1,2,4,2,2,1,1,1,3,2,2,2,4
424,black,3,928,0,"There were several strategies I used, but I always looked at the easier section first and then if I could not find it searched the other half column by column always two at a time, but later switched to single rows.",0,"Sometimes first the closer one  and then the second one, other times I would carry the first bucket to the second one, pick that one up and return with both.",male,white,21,188cm/6'1,75 kg,student,English and History,some bachelor's degree/finished high school,1,"Mostly various types of strategy, sometimes first person shooters","varies wildly, but on average maybe around 7",1,"badminton, (gym if that counts)",around 5,1,"painting, writing,",around 7,0,NA,5,4,3,4,1,5,4,4,2,5,4,4,3,5,4,2,1,5,4,5,4,5,5,3,1,3,3,4,2,2,3,3,5,5,5,1,4,4,4,4,4,5,3,3,1,5,3,1,3,2,2,4,5,5,1,3,3,4,4,4,5,5,4,1,1,2,4,1,5,2,1,5,2,1,3,5,3,2,5,4,2,2,2,1,2,4,1,2,2,2,4,3,2,3,4,4,3,3,3,2,4,3,1,3,1,4,2,4,4,2
426,black,3,741,1,briefly checked the side that had lines all slanting one way then checked the other side in a side to side way sometimes bottom to top sometimes top to bottom. i checked the first side first as if the line was there it was easy to spot. i went side to side as it seemed easiest,1,got the furthest one first then the closer one on the return for efficiency,other,white british,21,"5'2""",45kg,student,biomedical sciences,A Levels,1,puzzle based platformers,2,0,NA,NA,1,"reading, creative writing, listen to podcasts",4,0,NA,3,5,3,3,2,2,4,3,3,4,2,3,3,4,4,3,2,3,4,4,2,1,3,2,3,4,3,4,2,2,4,4,3,3,4,4,3,3,3,4,3,2,4,4,2,4,2,3,2,1,4,4,3,3,2,3,4,4,4,4,3,4,5,2,4,3,3,3,4,3,4,4,4,3,3,4,4,3,4,3,2,2,1,2,2,2,4,3,2,4,2,3,1,2,2,3,2,2,2,3,3,1,1,1,1,3,3,2,4,2
427,black,1,5360,1,Any image of 45 degrees,0,"Just straight forward focus to pick it up, so i could get balance holding",male,Black African,39,6.7,73kg,student,Environmental sustainability,Masters degree,0,NA,NA,0,NA,NA,1,"Travelling, watching documentaries and reading",greater than 90 hours per week,0,NA,3,5,1,3,3,4,5,1,4,5,4,1,4,5,4,5,1,5,4,3,1,1,2,4,3,1,5,1,3,2,4,5,5,5,3,3,1,5,5,5,5,3,5,5,1,1,1,1,3,4,4,5,5,5,4,5,4,1,4,5,3,1,5,5,1,5,2,4,1,5,1,1,5,5,5,3,2,4,1,5,4,1,3,4,1,1,4,4,3,3,2,4,4,1,4,1,2,3,2,4,3,2,1,1,1,4,1,2,2,4
428,orange,3,4070,1,I first checked half of the area that was filled with consistent pattern of tilted lines and then the other half that was filled with inconsistent panttern of tilted lines. I thought it was more logical and efficient than randomly scanning through the whole image and it might minimise the likelihood of missing the right line.,1,"I first took the one that was further away and placed it on the left, then the second bucket and placed it on the right.",Male,Chinese,22,172,65,Student,MA Financial Economics,Expected undergraduate,0,NA,NA,1,"Gym, Basketball, Badminton, Swimming",6,1,Reading,20,0,NA,1,1,1,1,2,4,5,1,4,4,2,4,5,5,5,5,5,5,5,4,5,2,1,2,1,2,1,4,1,5,5,1,5,5,4,5,5,5,5,5,2,5,5,4,4,2,5,1,2,2,2,5,5,5,2,2,1,2,5,5,2,1,2,5,5,4,1,4,2,1,2,1,5,5,5,5,1,4,2,4,4,1,3,1,2,2,2,3,3,4,2,3,4,2,3,2,3,3,2,4,2,1,2,2,1,3,1,2,2,4
430,orange,2,1035,1,check the well-organized part at first and then the hard side. It will be easier and not that tired to see the neat side.,0,"no strategy, just randomly move",female,Chinese,24,170cm,80kg,none,philosophy,Master,0,NA,NA,1,Swim,2,1,"watch Youtube, reading, plant, find wonderful food and try new taste",10,0,NA,3,4,3,2,3,3,5,5,5,4,5,1,3,2,2,5,4,4,4,4,3,2,5,4,3,5,4,5,5,4,5,4,3,3,5,4,2,3,1,2,3,3,2,2,2,3,2,3,3,4,3,4,4,3,3,2,2,3,3,2,2,5,4,4,1,2,3,3,5,5,2,5,5,2,4,5,4,5,5,5,2,3,3,3,4,2,1,1,2,3,2,1,2,3,3,4,3,4,4,2,1,2,3,4,1,2,2,3,3,1
431,black,5,530,1,First look through the lines that pointed in only one direction and then head to the other side of the screen and look thoroughly through the lines.,1,"Pick up the bucket closer to me first, then pick up the bucket that is further away and then come back with both buckets. Most of the times, I used the handles to hold them.",Female,White,22,178,117,Student,Business Management and Economics,Bachelor,0,NA,NA,0,NA,NA,1,Reading books,5,0,NA,4,2,4,1,5,5,5,2,4,4,1,5,5,1,5,2,4,5,2,5,5,2,4,5,1,4,2,4,5,2,4,4,4,5,5,4,1,5,1,5,4,5,5,4,1,4,5,1,1,4,2,5,5,2,2,4,1,1,2,4,2,1,5,5,1,5,4,1,1,1,5,1,5,5,4,1,1,2,4,5,3,1,2,3,2,1,4,4,3,4,3,4,4,2,4,1,1,1,2,4,1,2,1,1,1,2,3,1,4,4
432,orange,4,600,0,sometimes checking each line one by one sometimes two and two sometimes horizontally sometimes vertically usually just the one half with more varied lines. Sometimes just based on an over all scan,1,First picking up the one further away then the one closer,Female,White,20,154 cm,45kg,Student,Psychology,Highschool diploma,0,NA,NA,1,Takekwondo,2,1,"Language learning, arts crafts and poetry",6,0,NA,5,5,3,4,1,2,5,3,3,5,5,2,3,2,4,3,1,2,4,5,4,4,3,4,1,3,5,4,2,1,3,4,3,3,5,2,4,4,3,5,3,2,3,2,1,4,3,2,3,1,2,3,2,1,1,5,4,4,5,4,4,2,4,1,1,4,2,2,3,1,4,3,5,2,3,4,2,3,4,3,2,2,3,3,2,1,1,3,2,1,3,3,2,3,4,3,3,2,3,3,2,1,1,2,1,3,1,2,3,4
433,black,2,3927,0,"I first tried out a few strategies that did not work well: looking at the whole set at once, looking line by line and column by column. I ended up looking at three columns at a time from top to bottom as it worked best for me.",1,"I mostly took the bucket closest to me then the furthest away and dropped them at the same time, so that it was quicker. However, on the first try I did not have a strategy and simply brought them one by one. On the last trial I though it was a better use of strength to get the furthest away first and the closest one last before dropping them off.",Female,White,21,170 cm,58 kg,Student,History and Archaeology,High school degree (French),1,Adventure,0 (I only play at my parents),1,I run on the tread mill and do yoga,2,1,"Watching movies, painting, reading, writing, piano and guitar",20 (I am not sure.),0,NA,4,4,1,2,1,3,5,2,4,5,2,1,5,1,5,1,1,4,4,5,2,1,4,4,1,1,2,1,5,1,2,4,5,4,5,2,1,4,4,5,4,5,5,4,1,5,2,1,1,1,2,5,5,5,1,5,4,1,1,5,4,5,1,1,5,5,1,4,5,1,5,5,2,1,1,2,2,2,4,1,4,1,2,1,1,4,4,3,2,4,3,3,3,2,4,1,1,2,1,3,3,1,1,3,1,3,3,3,4,2
503,orange,1,3125,1,"Quickly looked over half the side with the lines tilted in the opposite direction, then if it was not there I looked over the side with the mixed lines over more carefully",1,"In the first trial I just picked up the first bucket in my way first and then picked up the one further away. After this I thought why I was carrying one bucket for longer when i could just pick it up on my way back from the bucket that was further away, so on the second trial I picked up the bucket that was further first, then took the closer one on my way back.",male,mixed: white and asian,21,186cm,100kg,student,Psychology,High school diploma,1,First person shooter games,2,1,"Badminton, archery, football",2,1,"Archery, football, badminton, filming, photography",4,0,NA,5,4,5,3,2,2,4,4,5,4,2,3,4,4,4,2,1,3,4,4,4,3,5,4,3,4,4,4,2,2,2,4,2,3,4,3,2,3,3,3,4,4,4,3,1,4,2,2,4,2,4,4,3,3,1,4,5,3,3,4,4,2,3,1,3,4,2,3,4,2,4,4,5,4,3,3,2,4,2,3,2,3,2,4,2,3,3,2,1,2,2,3,3,2,3,2,3,4,3,3,2,4,2,2,2,3,3,2,3,3
